quote,manager_name,context,topics
"Only true champions come out and show their worth after defeat.",Sir Alex Ferguson,,winning|motivation
"Hard work will always overcome natural talent when natural talent does not work hard enough.",Sir Alex Ferguson,,hard work|motivation
"If you're going to be a footballer, be a great one.",Sir Alex Ferguson,,motivation|philosophy
"The first 90 minutes are the most important.",Sir Bobby Robson,,tactics|philosophy
"Practice makes permanent.",Sir Bobby Robson,,hard work|philosophy
"In the sweep of its appeal, football is the only game that needed to be invented.",Sir Bobby Charlton,,passion|philosophy
"Nobody has enough talent to live on talent alone.",Arsene Wenger,,hard work|talent
"If you do not believe you can do it, then you have no chance at all.",Arsene Wenger,,belief|motivation
"To achieve great things you have first to believe it.",Arsene Wenger,,belief|winning
"A football team is like a beautiful woman.",Arsene Wenger,,philosophy|teamwork
"To win you have to score one more goal than your opponent.",Johan Cruyff,,winning|tactics
"Without the ball, you can't win.",Johan Cruyff,,tactics|philosophy
"It is not the strong one that wins, the one that wins is strong.",Franz Beckenbauer,,winning|philosophy
"If you are first, you are first. If you are second, you are nothing.",Bill Shankly,,winning|competition
"A lot of football success is in the mind.",Bill Shankly,,belief|psychology
"Football is a simple game based on giving and taking passes.",Bill Shankly,,philosophy|tactics
"Saturday comes again, welcome or not, another judgment day.",Brian Clough,,pressure|competition
"You have to work hard and well.",Jose Mourinho,,hard work|philosophy
"Fear is not a word in my football dictionary.",Jose Mourinho,,confidence|mindset
"Football is a game about feelings and intelligence.",Jose Mourinho,,philosophy|tactics
"You cannot win without tactical things but emotion makes difference.",Jurgen Klopp,,tactics|passion
"If you want success in the future, be ready to work now.",Jurgen Klopp,,hard work|motivation
"If you train badly, you play badly.",Pep Guardiola,,hard work|preparation
"I will forgive if players cannot get it right, but not if they don't try.",Pep Guardiola,,effort|leadership
"I have a need to play intensely every day.",Zinedine Zidane,,passion|intensity
"I once cried because I had no shoes to play soccer.",Zinedine Zidane,,perspective|gratitude
"I don't believe much in luck. I believe more in work.",Diego Simeone,,hard work|philosophy
"We play every game as if it were our last.",Diego Simeone,,intensity|passion
"Effort is the magic that makes success.",Diego Simeone,,hard work|winning
"I'd rather lose a game trying to win it.",Brendan Rodgers,,risk|philosophy
"I cannot say whether things will get better if we change; what I can say is they must change if they are to get better.",Georg C. Lichtenburg,,change|philosophy
"The most difficult thing is the decision to act, the rest is merely tenacity.",Amelia Earhart,,action|perseverance
"The greatest danger in times of turbulence is not the turbulence – it is to act with yesterday's logic.",Peter Drucker,,change|strategy
"Powerful and sustained change requires constant communication, not only throughout the rollout but after the major elements of the plan are in place.",DeAnne Aguirre,,change|leadership
"The world is changing very fast. Big will not beat small anymore. It will be the fast beating the slow.",Rupert Murdoch,,change|competition
"If you do not change direction, you may end up where you are heading.",Lao Tzu,,change|philosophy
"If you want what you're saying heard, then take your time and say it so that the listener will actually hear it.",Dr. Maya Angelou,,communication|leadership
"If you are not willing to risk the unusual, you will have to settle for the ordinary.",Jim Rohn,,risk|philosophy
"The announcement is the easy part; it makes the manager look bold and decisive. Implementation is more difficult.",Ron Ashkenas and Rizwan Khan,,change|leadership
"Change your opinions, keep to your principles; change your leaves, keep intact your roots.",Victor Hugo,,change|philosophy
"Few things are more important during a change event than communication from leaders who can paint a clear vision.",Sarah Clayton,,change|leadership
"They always say time changes things, but you actually have to change them yourself.",Andy Warhol,,change|action
"As dealing with change becomes a regular activity, leading it becomes a skill to hone, an internal capacity to master.",Arnaud Henneville,,change|leadership
"It's easy to make a buck. It's a lot tougher to make a difference.",Tom Brokaw,,purpose|philosophy
"The reality is that the only way change comes is when you lead by example.",Anne Wojcicki,,change|leadership
"If you are entrusted with bringing about change, you likely possess the knowledge needed to advance the organization.",Doug Conant,,change|leadership
"Change cannot be put on people. The best way to instill change is to do it with them. Create it with them.",Lisa Bodell,,change|collaboration
"Do not let what you cannot do interfere with what you can do.",John Wooden,,focus|philosophy
"The people must have ownership in the vision. They need to be enabled to accomplish it.",Modesta Lilian Mbughuni,,vision|leadership
"Vision without action is merely a dream. Action without vision just passes the time. Vision with action can change the world.",Joel A. Barker,,vision|action
"You can't change the world alone – you will need some help.",William H. McRaven,,teamwork|collaboration
"Change is a normal part of our lives, but it's uncomfortable for the vast majority of people because it makes them feel like they've lost control.",Mary Jo Asmus,,change|psychology
"Next to doing the right thing, the most important thing is to let people know you are doing the right thing.",John D. Rockefeller,,communication|leadership
"Every successful organization has to make the transition from a world defined primarily by repetition to one primarily defined by change.",Bill Drayton,,change|philosophy
"Companies that change may survive, but companies that transform thrive.",Nick Candito,,change|transformation
"When you take risks and they work out, they lead to new capabilities you never saw before.",Tom Soderstrom,,risk|innovation
"Life doesn't always present you with the perfect opportunity at the perfect time. Opportunities come when you least expect them.",Susan Wojcicki,,risk|opportunity
"A lot of times people look at risk and ask, 'What are the odds that I will succeed?'.",Dave Hitz,,risk|philosophy
"I always did something I was a little not ready to do. I think that's how you grow.",Marissa Mayer,,risk|growth
"At the core of Silicon Valley is a passion for 'yes'.",Steven Levy,,opportunity|mindset
"The tech industry is risk-friendly, so it's better to take the chance or take the lead.",Megan Berry,,risk|leadership
"I knew that if I failed I wouldn't regret that, but I knew the one thing I might regret is not trying.",Jeff Bezos,,risk|regret
"The biggest risk is not taking any risk.",Mark Zuckerberg,,risk|philosophy
"In today's industry, standing still is not an option. You must take a risk at some point.",Sanjib Sahoo,,risk|change
"If ROI is that obvious and certain, the idea probably isn't that risky in the first place.",Peter Buonora,,risk|philosophy
"Make the choices that make you nervous.",Eileen Burbidge,,risk|growth
"By establishing milestones, gates, and questions along the way, you're ensuring smart risk-taking.",Ina Kamenz,,risk|strategy
"It is not the manager's job to prevent risks. It is the manager's job to make it safe to take them.",Ed Catmull,Pixar co-founder,risk|leadership
"The only thing worse than starting something and failing is not starting something.",Seth Godin,,risk|action
"Confidence applied properly surpasses genius.",Mike Tyson,,confidence|mindset
"You either suffer the pain of discipline or the pain of regret.",Jim Rohn,,discipline|philosophy
"There is no such thing as failure. There are only results.",Tony Robbins,,mindset|philosophy
"When you undervalue what you do, the world will undervalue who you are.",Oprah Winfrey,,value|sales
"People often say motivation doesn't last. Well, neither does bathing.",Zig Ziglar,,motivation|philosophy
"Motivation will almost always beat mere talent.",Norman Ralph Augustine,,motivation|talent
"Sales are contingent upon the attitude of the salesman.",William Clement Stone,,sales|mindset
"The hours ordinary people waste, extraordinary people leverage.",Robin Sharma,,productivity|excellence
"Knowledge isn't power, applied knowledge is.",Paul Chek,,action|knowledge
"Buyers don't believe anything until they first believe in you.",Deb Calvert,,sales|trust
"You don't close a sale; you open a relationship.",Patricia Fripp,,sales|relationship
"Customers don't care whether you close the deal or not.",Aaron Ross,,sales|perspective
"Nothing happens until a sale is made.",Unknown,,sales|philosophy
"Never confuse activity with accomplishment.",Lori Richardson,,productivity|focus
"I have never worked a day without selling.",Estée Lauder,,sales|passion
"Losers have goals. Winners have systems.",Scott Adams,,systems|philosophy
"In business, you get what you negotiate.",Dr. Chet Karrass,,negotiation|sales
"Success is nothing more than disciplines practiced daily.",Jim Rohn,,discipline|success
"Success is the ability to go from failure without losing enthusiasm.",Winston Churchill,,resilience|success
"Failure is an event, not a person.",Zig Ziglar,,mindset|resilience
"None of us is as good as all of us.",Ray Kroc,,teamwork|collaboration
"It is amazing what you can accomplish if you do not care who gets the credit.",Harry S Truman,,teamwork|humility
"Coming together is a beginning, staying together is progress, and working together is a success.",Henry Ford,,teamwork|collaboration
"I can do things you cannot, you can do things I cannot; together we can do great things.",Mother Teresa,,teamwork|collaboration
"Collaboration is multiplication.",John C. Maxwell,,teamwork|leadership
"It is better to have a great team than a team of greats.",Simon Sinek,,teamwork|philosophy
"Teamwork is the ability to work together toward a common vision.",Andrew Carnegie,,teamwork|vision
"Individual commitment to a group effort — that is what makes a team work.",Vince Lombardi,,teamwork|commitment
"The secret is to work less as individuals and more as a team.",Knute Rockne,,teamwork|philosophy
"It is better to have one person working with you than three people working for you.",Dwight D. Eisenhower,,teamwork|leadership
"Great teamwork is the only way we create the breakthroughs that define our careers.",Pat Riley,,teamwork|innovation
"The way a team plays as a whole determines its success.",Babe Ruth,,teamwork|success
"Teamwork divides the task and multiplies the success.",Unknown,,teamwork|success
"Teamwork is the fuel that allows common people to attain uncommon results.",Andrew Carnegie,,teamwork|achievement
"Great things in business are never done by one person. They're done by a team of people.",Steve Jobs,,teamwork|business
"Talent wins games, but teamwork and intelligence wins championships.",Michael Jordan,,teamwork|winning
"When you hand good people possibility, they do great things.",Biz Stone,,trust|empowerment
"Never doubt that a small group of thoughtful citizens can change the world.",Margaret Mead,,teamwork|change
"I'd rather have 1% of the effort of 100 men than 100% of my own effort.",J. Paul Getty,,leverage|teamwork
"A major reason capable people fail to advance is that they don't work well with colleagues.",Lee Iacocca,,teamwork|career
